Customer_ID,Date,Product,Feedback,Rating,Age_Group,Location,Issue_Reported,Satisfaction_Score
CUST0001,1/15/2025,Sedan,Excellent performance and smooth ride,1,36-50,Texas,None,Unsatisfied
CUST0002,8/17/2024,SUV,Engine noise is too loud,5,18-25,California,Transmission,Satisfied
CUST0003,10/29/2024,Sedan,Reliable and easy to maintain,5,36-50,New York,Battery,Satisfied
CUST0004,2/2/2025,Hybrid,Great design and technology features,5,36-50,Ohio,Transmission,Satisfied
CUST0005,1/23/2025,SUV,Battery life could be better,3,26-35,California,Brakes,Unsatisfied
CUST0006,12/12/2024,SUV,Excellent performance and smooth ride,5,26-35,Texas,Battery,Satisfied
CUST0007,1/16/2025,Hybrid,Great design and technology features,4,36-50,Illinois,AC,Satisfied
CUST0008,3/19/2025,Truck,Transmission issues after 2 months,3,18-25,Texas,Battery,Unsatisfied
CUST0009,2/20/2025,Electric Car,Excellent performance and smooth ride,5,18-25,Michigan,Other,Satisfied
CUST0010,1/2/2025,Electric Car,Great design and technology features,1,36-50,Michigan,Transmission,Unsatisfied
CUST0011,5/6/2024,SUV,Reliable and easy to maintain,5,36-50,Texas,AC,Satisfied
CUST0012,5/2/2024,SUV,Brakes are not responsive,2,36-50,Michigan,Engine,Unsatisfied
CUST0013,4/21/2024,Truck,Great design and technology features,5,26-35,Michigan,Engine,Satisfied
CUST0014,3/13/2025,Sedan,Transmission issues after 2 months,4,51+,New York,Transmission,Satisfied
CUST0015,9/7/2024,Truck,Battery life could be better,5,26-35,New York,Battery,Satisfied
CUST0016,11/10/2024,Sedan,Excellent performance and smooth ride,5,26-35,New York,Engine,Satisfied
CUST0017,2/2/2025,Sedan,Excellent performance and smooth ride,2,18-25,Michigan,Brakes,Unsatisfied
CUST0018,6/1/2024,Hybrid,Reliable and easy to maintain,1,18-25,Michigan,Other,Unsatisfied
CUST0019,9/25/2024,SUV,Great design and technology features,2,36-50,Illinois,Brakes,Unsatisfied
CUST0020,5/17/2024,Sedan,Great design and technology features,5,18-25,Illinois,AC,Satisfied
CUST0021,7/13/2024,Truck,Brakes are not responsive,4,51+,Ohio,Battery,Satisfied
CUST0022,1/7/2025,SUV,Brakes are not responsive,5,36-50,Ohio,Electrical,Satisfied
CUST0023,12/9/2024,Truck,Brakes are not responsive,4,51+,California,Other,Satisfied
CUST0024,1/13/2025,Truck,Exceeded my expectations,5,18-25,New York,Electrical,Satisfied
CUST0025,9/29/2024,Sedan,Excellent performance and smooth ride,4,18-25,Michigan,Electrical,Satisfied
CUST0026,8/21/2024,Electric Car,Exceeded my expectations,4,36-50,Texas,AC,Satisfied
CUST0027,2/12/2025,SUV,Exceeded my expectations,4,51+,California,Transmission,Satisfied
CUST0028,5/23/2024,Hybrid,Reliable and easy to maintain,4,18-25,Ohio,Engine,Satisfied
CUST0029,3/18/2025,SUV,AC stopped working after a week,5,51+,Ohio,AC,Satisfied
CUST0030,6/16/2024,Electric Car,Great design and technology features,4,26-35,California,Engine,Satisfied
CUST0031,12/9/2024,Sedan,Excellent performance and smooth ride,5,51+,New York,Transmission,Satisfied
CUST0032,8/6/2024,Truck,Excellent performance and smooth ride,4,51+,Illinois,Electrical,Satisfied
CUST0033,11/14/2024,Hybrid,AC stopped working after a week,5,26-35,Michigan,Transmission,Satisfied
CUST0034,5/26/2024,Truck,AC stopped working after a week,5,18-25,New York,None,Satisfied
CUST0035,11/7/2024,Electric Car,Excellent performance and smooth ride,4,18-25,New York,Other,Satisfied
CUST0036,12/17/2024,Truck,Transmission issues after 2 months,1,36-50,California,Electrical,Unsatisfied
CUST0037,9/7/2024,Hybrid,Great design and technology features,3,51+,Illinois,Electrical,Unsatisfied
CUST0038,5/19/2024,Electric Car,Reliable and easy to maintain,3,36-50,New York,Electrical,Unsatisfied
CUST0039,3/25/2025,Hybrid,Excellent performance and smooth ride,3,18-25,Texas,AC,Unsatisfied
CUST0040,11/29/2024,Electric Car,Very comfortable and fuel efficient,1,36-50,New York,Electrical,Unsatisfied
CUST0041,9/1/2024,SUV,Engine noise is too loud,3,26-35,California,Electrical,Unsatisfied
CUST0042,4/21/2024,Sedan,Engine noise is too loud,4,51+,New York,Transmission,Satisfied
CUST0043,7/6/2024,Electric Car,Reliable and easy to maintain,4,18-25,New York,Brakes,Satisfied
CUST0044,3/31/2025,Hybrid,Reliable and easy to maintain,3,36-50,Texas,None,Unsatisfied
CUST0045,9/9/2024,Sedan,Excellent performance and smooth ride,4,26-35,Ohio,Engine,Satisfied
CUST0046,3/8/2025,Electric Car,Excellent performance and smooth ride,3,51+,California,Transmission,Unsatisfied
CUST0047,4/3/2025,Sedan,Engine noise is too loud,2,18-25,Texas,Battery,Unsatisfied
CUST0048,6/6/2024,Truck,Brakes are not responsive,4,51+,California,Other,Satisfied
